REM;Seccion;IdEstablecimiento;PK;IdServicio;Ano;Mes;IdRegion;IdComuna;CodigoPrestacion;Tipo Control;Profesional;Tipo de Caracteristica;Caracteristica;Variable;Cantidad
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;8;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;5.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;8;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;93.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;8;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;6.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010603COL01;16;2023;8;7;7308;1010603;Ginecológico;Matrona/ón;TOTAL      ;TOTAL      ;Col01;96.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010903COL01;16;2023;8;7;7308;1010903;Climaterio;Matrona/ón;TOTAL      ;TOTAL      ;Col01;1.0
REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010403COL01;16;2023;8;7;7308;1010403;Regulacion de Fecundidad;Matrona/on;TOTAL      ;TOTAL      ;Col01;188
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;10;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;1.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;10;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;96.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;10;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;11.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101080040COL01;16;2023;10;7;7308;1080040;Puérpera con recién nacido entre 11 y 28 días ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;1.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010603COL01;16;2023;10;7;7308;1010603;Ginecológico;Matrona/ón;TOTAL      ;TOTAL      ;Col01;89.0
REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010403COL01;16;2023;10;7;7308;1010403;Regulacion de Fecundidad;Matrona/on;TOTAL      ;TOTAL      ;Col01;162
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;11;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;2.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;12;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;2.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;12;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;94.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;12;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;8.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101080040COL01;16;2023;12;7;7308;1080040;Puérpera con recién nacido entre 11 y 28 días ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;2.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010603COL01;16;2023;12;7;7308;1010603;Ginecológico;Matrona/ón;TOTAL      ;TOTAL      ;Col01;54.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;11;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;94.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101501080COL01;16;2023;11;7;7308;1501080;Post Aborto;Matrona/ón;TOTAL      ;TOTAL      ;Col01;1.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;11;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;7.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010603COL01;16;2023;11;7;7308;1010603;Ginecológico;Matrona/ón;TOTAL      ;TOTAL      ;Col01;90.0
REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010403COL01;16;2023;11;7;7308;1010403;Regulacion de Fecundidad;Matrona/on;TOTAL      ;TOTAL      ;Col01;167
REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010403COL01;16;2023;12;7;7308;1010403;Regulacion de Fecundidad;Matrona/on;TOTAL      ;TOTAL      ;Col01;144
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;2;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;3.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;2;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;69.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;2;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;5.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101080040COL01;16;2023;2;7;7308;1080040;Puérpera con recién nacido entre 11 y 28 días ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;2.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010603COL01;16;2023;2;7;7308;1010603;Ginecológico;Matrona/ón;TOTAL      ;TOTAL      ;Col01;69.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;3;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;3.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;3;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;76.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;3;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;6.0
REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010403COL01;16;2023;2;7;7308;1010403;Regulacion de Fecundidad;Matrona/on;TOTAL      ;TOTAL      ;Col01;206
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010603COL01;16;2023;6;7;7308;1010603;Ginecológico;Matrona/ón;TOTAL      ;TOTAL      ;Col01;92.0
REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010403COL01;16;2023;6;7;7308;1010403;Regulacion de Fecundidad;Matrona/on;TOTAL      ;TOTAL      ;Col01;161
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;4;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;4.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;4;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;76.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;4;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;7.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010603COL01;16;2023;4;7;7308;1010603;Ginecológico;Matrona/ón;TOTAL      ;TOTAL      ;Col01;69.0
REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010403COL01;16;2023;4;7;7308;1010403;Regulacion de Fecundidad;Matrona/on;TOTAL      ;TOTAL      ;Col01;169
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010103COL01;16;2023;5;7;7308;1010103;Pre-Concepcional;Matrona/ón;TOTAL      ;TOTAL      ;Col01;4.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101010203COL01;16;2023;5;7;7308;1010203;Prenatal;Matrona/ón;TOTAL      ;TOTAL      ;Col01;72.0
REM 01;SECCIÓN A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;116101;11610101110107COL01;16;2023;5;7;7308;1110107;Puérpera con recién nacido hasta 10 días de vida ;Matrona/ón;TOTAL      ;TOTAL      ;Col01;6.0
